lambda 11 12 15 110 21 22 25 210 51 52 55 510 101 102 105 1010
-1 31.17 26.93 37.20 34.45 33.83 38.92 31.54 70.08 30.90 34.70 36.22 89.13 35.82 32.14 184.13 79.22
-0.5 27.57 20.67 19.65 21.46 30.11 19.90 21.38 19.20 29.22 21.22 18.66 20.98 29.29 25.92 21.77 20.53
0 22.13 19.89 20.07 21.42 22.84 18.56 17.30 17.55 24.64 17.66 20.99 19.06 24.33 17.98 19.48 19.83
0.5 23.12 20.87 21.78 22.45 20.20 19.27 18.72 246.85 20.45 17.16 17.53 31.82 19.95 262.82 16.28 16.72
1 23.66 20.09 291.65 65.80 21.61 20.37 18.81 20.29 22.19 17.50 16.65 314.23 21.52 20.20 16.83 290.07
2 22.44 23.25 260.06 21.13 21.84 19.93 22.79 260.58 20.79 16.46 317.95 230.11 25.51 16.75 230.78 324.19
