x y1 y2 y3 y4 y5 y dy1 dy2 dy3 dy4 dy5 dy
4.400000 0.458411 0.221621 0.093633 0.029321 0.004584 0.161514 -0.040830 -0.047895 -0.038575 -0.022091 -0.006869 -0.031252
4.500000 0.454389 0.216930 0.089888 0.027208 0.003948 0.158473 -0.039608 -0.045938 -0.036359 -0.020196 -0.005873 -0.029595
4.600000 0.450487 0.212430 0.086356 0.025275 0.003404 0.155590 -0.038446 -0.044096 -0.034304 -0.018484 -0.005025 -0.028071
4.700000 0.446698 0.208108 0.083022 0.023506 0.002939 0.152854 -0.037341 -0.042361 -0.032395 -0.016938 -0.004304 -0.026668
4.800000 0.443017 0.203954 0.079872 0.021883 0.002540 0.150253 -0.036288 -0.040723 -0.030622 -0.015538 -0.003690 -0.025372
4.900000 0.439439 0.199960 0.076894 0.020394 0.002198 0.147777 -0.035285 -0.039176 -0.028972 -0.014270 -0.003166 -0.024174
5.000000 0.435959 0.196116 0.074074 0.019025 0.001904 0.145416 -0.034327 -0.037715 -0.027435 -0.013121 -0.002720 -0.023064
5.100000 0.432572 0.192414 0.071403 0.017766 0.001652 0.143161 -0.033413 -0.036331 -0.026002 -0.012077 -0.002339 -0.022032
5.200000 0.429275 0.188847 0.068871 0.016606 0.001434 0.141007 -0.032540 -0.035022 -0.024664 -0.011128 -0.002014 -0.021073
5.300000 0.426063 0.185408 0.066467 0.015537 0.001247 0.138945 -0.031704 -0.033780 -0.023415 -0.010265 -0.001735 -0.020180
5.400000 0.422933 0.182089 0.064185 0.014551 0.001086 0.136969 -0.030904 -0.032602 -0.022246 -0.009478 -0.001497 -0.019346
5.500000 0.419881 0.178885 0.062016 0.013640 0.000947 0.135074 -0.030138 -0.031484 -0.021153 -0.008761 -0.001294 -0.018566
5.600000 0.416904 0.175791 0.059952 0.012797 0.000826 0.133254 -0.029404 -0.030421 -0.020128 -0.008106 -0.001119 -0.017836
5.700000 0.413999 0.172799 0.057988 0.012016 0.000722 0.131505 -0.028699 -0.029410 -0.019167 -0.007508 -0.000969 -0.017151
5.800000 0.411163 0.169907 0.056117 0.011293 0.000632 0.129822 -0.028023 -0.028449 -0.018265 -0.006961 -0.000840 -0.016507
