1000	0.14607	0.14598	0.14607	0.14598
2000	0.1856	0.21328	0.1856	0.21328
3000	0.28763	0.22662	0.28763	0.22662
4000	0.25287	0.23227	0.28763	0.23227
5000	0.28476	0.26274	0.28763	0.26274
6000	0.33403	0.25208	0.33403	0.26274
7000	0.31252	0.31833	0.33403	0.31833
8000	0.369	0.31771	0.369	0.31833
9000	0.35466	0.31204	0.369	0.31833
10000	0.38158	0.36382	0.38158	0.36382
11000	0.42698	0.31735	0.42698	0.36382
12000	0.43769	0.38047	0.43769	0.38047
13000	0.44705	0.38387	0.44705	0.38387
14000	0.40167	0.41505	0.44705	0.41505
15000	0.44911	0.42394	0.44911	0.42394
16000	0.51608	0.46083	0.51608	0.46083
17000	0.49959	0.47023	0.51608	0.47023
18000	0.5188	0.4429	0.5188	0.47023
19000	0.51678	0.48991	0.5188	0.48991
20000	0.51964	0.46212	0.51964	0.48991
21000	0.50595	0.42394	0.51964	0.48991
22000	0.54431	0.50868	0.54431	0.50868
23000	0.51697	0.50131	0.54431	0.50868
24000	0.56868	0.52333	0.56868	0.52333
25000	0.57961	0.52664	0.57961	0.52664
26000	0.55131	0.55224	0.57961	0.55224
27000	0.54453	0.53992	0.57961	0.55224
28000	0.59219	0.5254	0.59219	0.55224
29000	0.57985	0.56074	0.59219	0.56074
30000	0.5615	0.56845	0.59219	0.56845
31000	0.58318	0.55825	0.59219	0.56845
32000	0.59641	0.55326	0.59641	0.56845
33000	0.58198	0.57033	0.59641	0.57033
34000	0.57274	0.57589	0.59641	0.57589
35000	0.60695	0.55904	0.60695	0.57589
35500	0.64069	0.6068	0.64069	0.6068
36000	0.64434	0.61997	0.64434	0.61997
36500	0.64754	0.62374	0.64754	0.62374
37000	0.65128	0.6203	0.65128	0.62374
38000	0.64724	0.62361	0.65128	0.62374
39000	0.65253	0.62917	0.65253	0.62917
40000	0.6491	0.62148	0.65253	0.62917
41000	0.64971	0.62454	0.65253	0.62917
42000	0.64446	0.62757	0.65253	0.62917
43000	0.65659	0.62682	0.65659	0.62917
44000	0.64896	0.62819	0.65659	0.62917
